index,marks,placement
1,34,1
2,55,1
3,37,0
4,89,1
5,74,1
6,31,0
7,84,1
8,91,1
9,89,1
10,77,1
11,20,0
12,40,0
13,63,1
14,47,0
15,63,1
16,68,1
17,64,1
18,25,0
19,88,1
20,68,1
21,57,0
22,99,1
23,66,1
24,28,0
25,49,0
26,30,0
27,32,0
28,78,1
29,66,1
30,65,1
31,54,0
32,29,0
33,41,0
34,51,1
35,68,1
36,91,1
37,61,0
38,27,0
39,24,0
40,71,1
41,47,0
42,92,1
43,60,1
44,83,1
45,78,1
46,37,0
47,91,1
48,94,1
49,94,1
50,48,0
51,37,0
52,31,0
53,34,0
54,40,0
55,74,1
56,69,1
57,79,1
58,90,1
59,21,0
60,34,0
61,88,1
62,63,1
63,75,1
64,20,0
65,53,0
66,42,0
67,33,0
68,58,0
69,84,1
70,39,0
71,40,0
72,87,1
73,96,1
74,22,0
75,66,0
76,59,1
77,50,0
78,30,0
79,82,1
80,88,1
81,36,0
82,90,1
83,87,1
84,74,0
85,89,1
86,45,0
87,71,0
88,67,1
89,86,1
90,51,1
91,63,1
92,90,1
93,48,1
94,100,1
95,28,0
96,62,1
97,50,0
98,82,1
99,36,0
100,93,1
101,51,0
102,72,1
103,32,0
104,65,1
105,79,1
106,26,0
107,32,0
108,63,0
109,33,0
110,44,0
111,37,0
112,55,0
113,29,0
114,90,1
115,89,1
116,31,0
117,50,1
118,82,1
119,71,0
120,41,0
121,69,1
122,78,1
123,91,1
124,82,1
125,57,1
126,27,0
127,89,1
128,60,1
129,94,1
130,87,1
131,85,1
132,43,1
133,28,0
134,50,0
135,92,1
136,96,1
137,30,0
138,94,1
139,60,0
140,46,0
141,60,1
142,70,1
143,58,0
144,29,1
145,99,0
146,32,0
147,47,0
148,36,0
149,28,0
150,67,1
151,76,1
152,58,0
153,87,1
154,90,1
155,33,0
156,37,0
157,33,0
158,39,0
159,97,1
160,63,1
161,53,0
162,52,0
163,26,0
164,74,1
165,25,1
166,36,0
167,53,1
168,76,1
169,74,1
170,34,0
171,39,0
172,67,1
173,38,0
174,25,0
175,25,0
176,46,0
177,33,0
178,91,1
179,72,0
180,39,0
181,50,0
182,42,0
183,23,0
184,62,0
185,72,1
186,51,0
187,33,0
188,24,0
189,48,0
190,78,1
191,49,0
192,44,0
193,55,0
194,55,0
195,85,1
196,88,1
197,23,0
198,53,1
199,53,1
200,96,1
201,60,1
202,85,1
203,93,1
204,25,0
205,20,0
206,88,1
207,45,0
208,28,0
209,62,0
210,35,0
211,58,0
212,72,1
213,57,0
214,44,0
215,68,1
216,42,0
217,58,1
218,20,0
219,46,0
220,94,1
221,61,1
222,76,1
223,85,1
224,41,0
225,56,0
226,99,1
227,50,0
228,48,0
229,38,1
230,51,0
231,98,1
232,29,0
233,100,1
234,69,1
235,51,1
